COMMUNITY RESILIENCE-new-results,Count COMMUNITY RESILIENCE-results
Jakarta,3
Land_degradation,3
LGBT,3
Longitudinal_study,3
Mathematical_optimization,3
Microbiota,3
Mobile_phone,3
Natural_hazard,3
Nature,3
Non-governmental_organization,3
North_Carolina,3
Organization,3
Participatory_action_research,3
Poverty,3
Process_philosophy,3
Quality_of_life,3
Racism,3
Risk_assessment,3
Sanitation,3
Seismic_analysis,3
Sia_Furler,3
Social_network_analysis,3
Southwest_China,3
Spain,3
Spatial_analysis,3
Sri_Lanka,3
Stochastic,3
Storm_surge,3
Stress_(biology),3
System_dynamics,3
Terrorism,3
Time,3
Typhoon,3
Understory,3
United_Nations,3
Adolescence,2
Ancient_Greece,2
Auckland,2
Bathymetry,2
Behavior,2
Bibliometrics,2
Big_data,2
Bioenergy,2
Biosphere,2
Brazil,2
Breastfeeding,2
BRIC,2
Built_environment,2
Casualty_(person),2
Central_Eastern_Alps,2
Chile,2
Civil_defense,2
Civil_society,2
Climate_change_mitigation,2
Climate_justice,2
Coevolution,2
Collective_action,2
Construct_validity,2
Content_analysis,2
Coping_(psychology),2
Crisis_management,2
Cultural_landscape,2
Deepwater_Horizon_oil_spill,2
Depression_(mood),2
Earthquake_resistant_structures,2
Ecotourism,2
Education,2
Environmental_justice,2
Environmental_science,2
Epidemic,2
Epistemology,2
Europe,2
Factor_analysis,2
Family,2
Federal_government_of_the_United_States,2
Fisheries_management,2
Fremont-_California,2
Geographic_information_system,2
Grassland,2
Green_building,2
Green_infrastructure,2
Gut_flora,2
Health_care,2
Herbivore,2
HIV,2
HIV/AIDS,2
Holism,2
Hydrology,2
Information_and_communications_technology,2
Irrigation,2
Joplin-_Missouri,2
L'Aquila,2
Land_use,2
Liberia,2
Literature_review,2
Lockdown_(Transformers),2
Lumberton-_North_Carolina,2
Malaysia,2
Mediterranean_Sea,2
Meta-analysis,2
Microfinance,2
Mississippi_River,2
Multilevel_model,2
National_Council_on_Radiation_Protection_and_Measurements,2
Natural_environment,2
Natural_resource,2
Nepal,2
Netherlands,2
New_York_City,2
Norway,2
Ontogeny,2
Open_space_reserve,2
Pakistan,2
Panarchy,2
Phylogenetic_diversity,2
Pinus_ponderosa,2
Plantation,2
Portuguese_language,2
Posttraumatic_growth,2
Praxis_(process),2
Psychology,2
Psychosocial,2
Public_housing,2
Public–private_partnership,2
Quantitative_research,2
Quarantine,2
Reliability_engineering,2
Renaissance,2
Renewable_energy,2
Reproductive_health,2
Rwanda,2
Saudi_Arabia,2
Savanna,2
Schizophrenia,2
Scientific_modelling,2
Sediment,2
Seismic_hazard,2
Self-organization,2
Semi-structured_interview,2
Sendai,2
Sendai_Framework_for_Disaster_Risk_Reduction,2
Shale_gas,2
Shanghai,2
Singapore,2
Social_enterprise,2
Social_impact_assessment,2
Social_marketing,2
Social_support,2
Social_work,2
Socioeconomics,2
Sociotherapy,2
South_Korea,2
Species_richness,2
Spirituality,2
Stormwater,2
Surface_runoff,2
Sustainable_Development_Goals,2
Sustainable_drainage_system,2
Taxonomy_(biology),2
Technology,2
Teenage_pregnancy,2
Temperature,2
Traditional_ecological_knowledge,2
Transformative_learning,2
Transport,2
Trophic_level,2
Typhoon_Morakot,2
United_States_Virgin_Islands,2
Vietnam,2
Virus,2
Voices_of_Animals_and_Men,2
War,2
Wellington,2
Winter_storm,2
Wuhan,2
Zimbabwe,2
1755_Lisbon_earthquake,1
1918_flu_pandemic,1
1981_Atlantic_hurricane_season,1
2007_South_Korea_oil_spill,1
2007_United_Kingdom_floods,1
2008_Sichuan_earthquake,1
2010_Chile_earthquake,1
2010–11_Queensland_floods,1
2011_Christchurch_earthquake,1
2011_England_riots,1
2011_Joplin_tornado,1
2012_Northern_Italy_earthquakes,1
4_for_Texas,1
A_Delicate_Balance_(play),1
Aberdeen,1
Abiogenesis,1
Abiotic_component,1
Academia,1
Acculturation,1
Aceh,1
Acid_sulfate_soil,1
Action_learning,1
Action_research,1
Acupuncture,1
Adapazarı,1
Adaptation,1
Adaptive_management,1
Adult_daycare_center,1
Advection,1
Adverse_effect,1
Aesthetics,1
Africa,1
Afro-Caribbean,1
After_the_Dust_Settles,1
Agricultural_education,1
Agroecology,1
Agroforestry,1
Airbnb,1
Alchemy,1
Alento_(Campania),1
Allegheny_County-_Pennsylvania,1
Alpine_Fault,1
Alps,1
Altiplano,1
Amazon_rainforest,1
American_College_of_Surgeons,1
Analytic_network_process,1
Anarchism,1
Anatomical_terms_of_location,1
Andes,1
Andrew_Young_School_of_Policy_Studies,1
Another_Day_in_Paradise,1
Ant,1
Anthropocene,1
Anthropogenic_hazard,1
Antimicrobial_resistance,1
Arab_Spring,1
Aragon,1
Arizona,1
Arthropod,1
Artificial_neural_network,1
AS3959,1
Asia_Insurance_Building,1
Asset-based_community_development,1
Atrato_River,1
Attachment_theory,1
Attorney-General's_Department_(Australia),1
Audience_segmentation,1
Bacteria,1
Bacterioplankton,1
Balanced_scorecard,1
Bali_Peace_Park,1
Bam-_Iran,1
Bandung,1
Bandung_Regency,1
Bangkok,1
Bantus_(Somalia),1
Barcelona,1
Baton_Rouge-_Louisiana,1
Beaujolais,1
Belarus,1
Benchmarking,1
Benthic_zone,1
Big_Society,1
Binary_decision_diagram,1
Bioarchaeology,1
Bioethics,1
Biofilm,1
Biological_interaction,1
Biomass,1
Biotransformation,1
Bird,1
Birmingham,1
Black_Saturday_bushfires,1
Block_chain_(database),1
Boeing_747,1
Bonans,1
Borana_Oromo_people,1
Bornholm,1
Boston_Strong,1
Bowen_Island,1
Bridge_over_Troubled_Water,1
Brisbane,1
Bristol_Bay,1
Brunei,1
Butte_County-_California,1
Cabo_Pulmo_National_Park,1
Calabria,1
Cameroon,1
Cancer,1
Canterbury-_New_Zealand,1
Cape_Town,1
Capitalism,1
Carbon_tax,1
Cardinal_myzomela,1
Carrion,1
Cenozoic,1
Centers_for_Medicare_and_Medicaid_Services,1
Central_Java,1
Chagas_disease,1
Charles_Figley,1
Charles_Johnson_(wide_receiver-_born_1972),1
Charles_Mbire,1
Child_abuse,1
Child_labour,1
Child_sexual_abuse,1
Circular_economy,1
Climate_governance,1
Cloudburst,1
Cluster_analysis,1
Coal_mining,1
Coalbed_methane,1
Coastal_fish,1
Coastal_management,1
Cogeneration,1
Cognition,1
Cognitive_map,1
Collective_trauma,1
Colorado,1
Commercial_fishing,1
Common-pool_resource,1
Commons,1
Communalism,1
Community_gardening,1
Community_practice,1
Community-based_participatory_research,1
Compassion,1
Compassion_fatigue,1
Conceptual_framework,1
Confirmatory_factor_analysis,1
Consequence_of_Power,1
Contact_tracing,1
Contiguous_United_States,1
Control_reconfiguration,1
Controlled_burn,1
Copycat_suicide,1
Cosmopolitanism,1
Counter-terrorism,1
Coworking,1
Cranberry,1
Creative_industries,1
Creativity,1
Credit_card,1
Critical_infrastructure_protection,1
Critical_race_theory,1
Critical_thinking,1
Cross_River_National_Park,1
Crowdsourcing,1
Cuba,1
Cultural_capital,1
Cultural_Geographies,1
Cultural_identity,1
Cyberinfrastructure,1
Darfur,1
Debris_flow,1
Decentralized_decision-making,1
Decision_analysis,1
Deforestation,1
DeKalb_County-_Alabama,1
Delphi_method,1
Democratic_Republic_of_the_Congo,1
Determinism,1
Dhaka,1
Diabetes_mellitus,1
Diepsloot,1
Digital_footprint,1
Disaster_medicine,1
Disaster_research,1
Discrete_event_simulation,1
Diseases_of_poverty,1
Disruptive_selection,1
Drča,1
Dribble_drive_motion,1
Druze,1
Dualism,1
Dujiangyan_City,1
Dyer_County-_Tennessee,1
Dynamic_assessment,1
Dynamical_system,1
Earthquake_prediction,1
East_Kalimantan,1
Echuca,1
Eco-socialism,1
Ecological_niche,1
Economic_development,1
Economic_system,1
Economics_of_global_warming,1
Economy,1
Ecosystem_services,1
Ecotone,1
Ecovillage,1
Edaphic,1
Edinburgh,1
Effects_of_global_warming_on_human_health,1
Egg,1
Eichhornia_crassipes,1
Electrical_grid,1
Elements_of_Life,1
Elsevier,1
Embase,1
Emergency_medicine,1
Emic_and_etic,1
Emo,1
Emotion_and_memory,1
Empathic_design,1
Empathy,1
Employment,1
Endemic_(epidemiology),1
Endemism,1
Endogeny_(biology),1
Energy_(esotericism),1
Energy_crisis,1
Energy_transition,1
Engineering_geology,1
Enhanced_Fujita_scale,1
Enschede,1
Environment_Agency,1
Environmental_health,1
Environmental_history,1
Environmental_resource_management,1
Ethnography,1
Ethnoscience,1
Eucalypt,1
European_Union,1
Ex-ante,1
Experiential_learning,1
Exploratory_factor_analysis,1
Extracellular_polymeric_substance,1
F._W._Kickbusch,1
Fear,1
Feces,1
Federally_Qualified_Health_Center,1
Feedback,1
Feminist_economics,1
Fifty_Shades_of_Grey,1
Fiji,1
Fire_regime,1
First_Nations,1
Flood_insurance,1
Flood_risk_assessment,1
Floodplain_restoration,1
Floods_in_Bangladesh,1
Food_energy,1
Food_processing,1
Football_Association_of_the_Czech_Republic,1
Forced_migration,1
Forest_management,1
Forestry,1
Fortaleza,1
Fossil_fuel,1
Frame_of_reference,1
Framework_decision,1
Fukushima_Daiichi_nuclear_disaster,1
Full_Speed_Ahead_(film),1
Function_composition,1
Function_model,1
Fungus,1
Fuzzy_logic,1
Galician_language,1
Gardens_for_Health_International,1
Gasoline,1
Gaussian_process,1
Gender_mainstreaming,1
Geomorphology,1
Glacial_lake,1
Global_health,1
Global_mental_health,1
Good_governance,1
Grassroots,1
Great_Plains,1
Grey_District,1
Grey_literature,1
Greywater,1
Gulf_Coast_of_the_United_States,1
Gulf_of_Mexico,1
Gullah,1
Gurgaon,1
Hội_An,1
Habituation,1
Habitus_(sociology),1
Haiti,1
Halal_tourism,1
Hamilton-_Ontario,1
Haor,1
Head-mounted_display,1
Health,1
Health_belief_model,1
Health_effect,1
Health_promotion,1
Heat_wave,1
Hedonism,1
Heterotopia_(space),1
Heuristic,1
Hindu_Kush,1
Hippocampus,1
Holistic_community,1
Homeland_Security_Grant_Program,1
Homelessness,1
Homicide,1
Honduras,1
Hong_Kong,1
Houston,1
Human,1
Human_biology,1
Human_geography,1
Human_impact_on_the_environment,1
Human_rights,1
Human_security,1
Hunter-gatherer,1
Hurricane_preparedness,1
Hydrogeology,1
Hypertext_Transfer_Protocol,1
Hysteresis,1
Ibiza,1
Idaho,1
Idealism,1
Identity_(social_science),1
Ideology,1
Imaginary_(sociology),1
Imputation_(statistics),1
In_and_of_the_Self,1
In_situ,1
Indigenous_architecture,1
Indigenous_Australians,1
Inflammation,1
Informa,1
Information,1
Information_asymmetry,1
Information_management,1
Innovation,1
Insect,1
Insecticide,1
Institution,1
Institutional_racism,1
Insurance,1
Intangible_cultural_heritage,1
Integrated_coastal_zone_management,1
Intelligence,1
Intentional_community,1
Internally_displaced_person,1
International_Conference_on_Climate_Change,1
International_volunteering,1
Interpellation_(philosophy),1
Interpersonal_relationship,1
Interprofessional_education,1
Intersectionality,1
Invasive_species,1
Irrawaddy_Delta,1
Ishinomaki-_Miyagi,1
Islamism,1
Israel_Defense_Forces,1
Italian_language,1
Jalin,1
James_Madison_University,1
Jamuna_River_(Bangladesh),1
Jangsu_County,1
Japan,1
John_Favour,1
Juan_Manuel_Echavarría,1
Justice,1
Justice_Institute_of_British_Columbia,1
Kansas_City-_Missouri,1
Kashechewan_First_Nation,1
Kathmandu,1
Katrenikona,1
KCCR_(AM),1
Kentucky,1
Kenya,1
Kernel_method,1
Kāneʻohe_Bay,1
Khat,1
Khulna,1
Kibbutz,1
Kingdom_of_England,1
Knowledge_extraction,1
Knowledge_management,1
Knowledge_mobilization,1
Kobe,1
Kuala_Lumpur,1
Kulon_Progo_Regency,1
Kumamoto,1
Kurt_Vonnegut,1
Labour_economics,1
Lac-Mégantic-_Quebec,1
Laguna_de_Bay,1
Land_tenure,1
Landscape_planning,1
Latino_(demonym),1
Lava,1
Lesbian,1
Lesotho,1
Liberty,1
Library,1
Life,1
Life_(Simply_Red_album),1
Limbe-_Cameroon,1
Limerick-_Saskatchewan,1
Lismore-_New_South_Wales,1
Littoral_zone,1
Livestock,1
Lockdown_(2008),1
Logging,1
Logic_model,1
Logistics,1
Loss_function,1
Lost_in_Translation_(film),1
Lostwithiel,1
Maasai_Mara,1
Machine_learning,1
Macroecology,1
Madagascar,1
Maine,1
Majes_District,1
Malawi,1
Malnutrition,1
Managed_retreat,1
Management,1
Management_of_HIV/AIDS,1
Mangrove,1
Mannose,1
Mapuche,1
Marine_invertebrates,1
Maritime_forest,1
Maryland,1
Mashhad,1
Mass-casualty_incident,1
Mathematical_model,1
Mayurakshi_River,1
Me_to_We,1
Measurement_of_biodiversity,1
Mechanised_agriculture,1
Medical_home,1
Memory,1
Mental_health_first_aid,1
Mestizo,1
Metabolomics,1
Metaphor,1
Methane,1
Methanotroph,1
Metro_Manila,1
Mexico–United_States_border,1
Māori_people,1
Miami,1
Midwife,1
Military_use_of_children,1
Minneapolis,1
Mire,1
Mobile_home,1
Moderated_mediation,1
Monte_Carlo_method,1
Montreal,1
Moral_disengagement,1
Morality,1
More_Than_a_Game_(song),1
More_with_Less,1
Moss,1
Mozambique,1
Multi-objective_optimization,1
Multiple-criteria_decision_analysis,1
Multiscale_decision-making,1
Multivariate_interpolation,1
Murree,1
Music_therapy,1
Mutual_aid_(organization_theory),1
Mutualism_(biology),1
Muzarabani,1
Mwanza,1
Myanmar,1
Nablus,1
Nagahama-_Shiga,1
Naha,1
Nain-_Newfoundland_and_Labrador,1
Nandong,1
Nanjing,1
National_Flood_Insurance_Program,1
National_Health_Security_Strategy,1
National_Health_Service_(England),1
National_Institute_of_Geophysics_and_Volcanology,1
National_Institute_of_Standards_and_Technology,1
National_Institutes_of_Health,1
National_Weather_Service,1
Native_plant,1
Natural_gas,1
Nature_of_the_Beast_(NCIS),1
Necdet_Üruğ,1
Nekton,1
Nestedness,1
Neuroblastoma_RAS_viral_oncogene_homolog,1
Neutrophil,1
New_media,1
New_Urbanism,1
New_Zealand_Trade_and_Enterprise,1
Ng'ong'ona,1
Nightclub,1
Non-metropolitan_county,1
Nonprofit_organization,1
Noodle,1
North_Dakota,1
North_Vancouver_(district_municipality),1
North–South_divide,1
Northern_Ontario,1
Northwest_China,1
Nuclear_and_radiation_accidents_and_incidents,1
Nunavut,1
Nursing_literature,1
Nutrient,1
Nutrient_cycle,1
Nutrition,1
Observation,1
Ocean_acidification,1
Oceania,1
Old_Dhaka,1
Oman,1
Once_in_a_Lifetime_(Talking_Heads_song),1
Ontology_(information_science),1
Opioid,1
Ozone,1
Pablo_Picasso,1
Paektu_Mountain,1
Palestinians,1
Paradigm,1
Paradigm_shift,1
Paradox,1
Paramedic,1
Parkinson's_disease,1
Partial_least_squares_regression,1
Participatory_modeling,1
Participatory_technology_development,1
Path_dependence,1
Paul_Brown,1
Pehuenche_people,1
Pelagic_fish,1
Pelagic_zone,1
Permaculture,1
Permafrost,1
Personal_identity,1
Personality_psychology,1
Pesticide,1
Petrochemical,1
Phoenix-_Arizona,1
Physical_security,1
Phytoplankton,1
Picoeukaryote,1
Pitcairn_Islands,1
Plankton,1
Planning,1
Ploidy,1
Pluvial,1
Point-of-care_testing,1
Policy,1
Political_ecology,1
Political_Studies_Association,1
Pollination,1
Pollution,1
Population_decline,1
Population_dynamics,1
Porites_astreoides,1
Port-au-Prince,1
Portugal,1
Positive_education,1
Positive_psychology,1
Postcolonialism,1
Posttraumatic_stress_disorder,1
Power_outage,1
Precarity,1
Predation,1
Predictive_analytics,1
Presidency_of_Barack_Obama,1
President's_Challenge,1
Preventive_healthcare,1
Primary_healthcare,1
Prince_of_Wales_Island_(Alaska),1
Probabilistic_risk_assessment,1
Probability_distribution,1
Problem_solving,1
Project_stakeholder,1
Prokaryote,1
Protected_area,1
Psychological_trauma,1
Pteropus,1
Public_policy,1
Public_relations,1
Public–public_partnership,1
Putrajaya,1
Quantile_regression,1
Quasi-experiment,1
Quaternary,1
Queer,1
Radiation,1
Radio_station,1
Radionuclide,1
Rautahat_District,1
Reality,1
Reciprocity_(social_psychology),1
Redlining,1
Reiki,1
Reindeer,1
Remote_sensing,1
Renewable_resource,1
Repeated_measures_design,1
Research,1
Reservoir,1
Response_to_intervention,1
Rewa_Province,1
Rhode_Island,1
Rio_de_Janeiro_(state),1
Rip_current,1
River_delta,1
Rockaway-_Queens,1
Rohingya_people,1
Role-playing_game,1
Romania,1
S'more,1
SAGE_Publications,1
Sakha_Republic,1
Sakon_Nakhon_Province,1
Salinity,1
Salutogenesis,1
Sandy_Hook-_Connecticut,1
Schengen_Information_System,1
SciELO,1
Science,1
Science_fiction,1
Scientific_method,1
Sea_lettuce,1
Seaside-_Oregon,1
Secondary_source,1
Seed_swap,1
Seismic_retrofit,1
Seismic_source,1
Self-efficacy,1
Self-help,1
Self-report_inventory,1
Sensationalism,1
Seoul,1
Sequential_game,1
Serious_game,1
Severn_Estuary,1
Sexual_violence,1
Shadow_of_Fear,1
Shaky_Isles,1
Shanghai_Cooperation_Organisation,1
Shanty_town,1
Shelter_in_place,1
Shifting_cultivation,1
Shrinking_cities,1
Simeulue,1
SISMI,1
Situation_awareness,1
Small_and_medium-sized_enterprises,1
Social_alienation,1
Social_conflict,1
Social_constructionism,1
Social_contract,1
Social_ecology,1
Social_entrepreneurship,1
Social_relation,1
Social_sustainability,1
Socioeconomic_status,1
Sociology,1
Sociotechnical_system,1
Soil,1
Soil_seed_bank,1
Solastalgia,1
Solomon_Islands,1
Somalis,1
Somerset_Levels,1
South_Africa,1
South_Asia,1
South_Carolina,1
South_Sudan,1
Southeast_Sulawesi,1
Space,1
Spatial_epidemiology,1
Speciation,1
Specific_performance,1
Sphagnum,1
Springer_Science+Business_Media,1
Squatting,1
St._Gabriel-_Louisiana,1
Stakeholder_(corporate),1
Stan_Winston,1
Staple_food,1
Status_quo,1
Stokkseyri,1
Structural_adjustment,1
Structural_vulnerability,1
Structured_interview,1
Student's_t-test,1
Subsistence_agriculture,1
Subtropics,1
Suicide_prevention,1
Sunamganj_District,1
Sunshine_Coast-_Queensland,1
Superfast!,1
Supply_chain,1
Surabaya,1
Surgery,1
Surrogacy,1
Survey_methodology,1
Sustainable_agriculture,1
Sustainable_city,1
Sustainable_energy,1
Sustainable_tourism,1
Swamp,1
Symbiosis,1
Sympathy,1
Synergy,1
System_of_systems,1
Systemics,1
Systems_theory,1
T._S._Eliot,1
Taal_Volcano,1
Tamil_Nadu,1
Tangerang,1
Tanzania,1
Taylor_&_Francis,1
Technological_convergence,1
Ten_Essentials,1
Texas,1
Thailand,1
The_Bahamas,1
The_Chain_(Buffy_comic),1
The_Dispossessed,1
The_Good_Life_(1975_TV_series),1
The_Heiresses,1
The_New_Normal_(TV_series),1
The_Rain_(Oran_&quot;Juice&quot;_Jones_song),1
The_Salvation_Army,1
The_Scene_(miniseries),1
The_Shock_Doctrine,1
The_three_Rs,1
The_Wild_House,1
The_World_of_Null-A,1
Thermal_radiation,1
Think_globally-_act_locally,1
Thrifty_phenotype,1
Tibetan_Plateau,1
Tick,1
Time-based_currency,1
Time-sharing,1
Tipping_point_(climatology),1
Tokyo,1
Tool,1
Top_of_the_Pops_(record_series),1
Tornado_intensity,1
Toronto,1
Transgender,1
Transition_state,1
Transition_town,1
Triage,1
Tuberculosis,1
Tucson-_Arizona,1
Tutsi,1
Type_site,1
Uganda,1
Uncertainty,1
United_Kingdom_withdrawal_from_the_European_Union,1
United_States_Army_Reserve,1
United_States_Department_of_Energy,1
United_States_Department_of_Homeland_Security,1
United_States_Department_of_Veterans_Affairs,1
United_States_Environmental_Protection_Agency,1
Urban_agriculture,1
Urban_horticulture,1
Urban_renewal,1
Vaccine,1
Vancouver,1
Vanilla_Ice,1
Vegetable,1
Vermont,1
Vernacular_architecture,1
Veterinary_physician,1
Vigna_subterranea,1
Villages_of_Portland,1
Virtual_community,1
Virtual_community_of_practice,1
Volcano,1
Volunteered_geographic_information,1
Wadi_Allaqi,1
Wales,1
Walkability,1
Walkerton-_Ontario,1
Washington-_D.C.,1
Waste_management,1
Wastewater,1
Water_conflict,1
Water_scarcity,1
Watermelon,1
Weathering,1
Welfare,1
West_Bank,1
West_Sussex,1
Western_esotericism,1
Wetland,1
What_Do_You_Mean?,1
Where_Have_All_The_People_Gone?,1
William_Garne,1
Willow,1
Wind_resource_assessment,1
Wireless_community_network,1
Wittenberge,1
World_Stroke_Organization,1
Yogyakarta,1
YouTube,1
Zanzibar,1
Zooplankton,1
(blank),
